date_time,seedling_ID,photo_ID,sample
9/28/22,3964,2022_0928_175420_100,2
9/29/22,3482,2022_0929_164434_002,2
9/29/22,4158,2022_0929_164548_004,2
9/29/22,4152,2022_0929_164706_006,2
9/29/22,3563,2022_0929_164826_008,2
9/29/22,3379,2022_0929_164958_010,2
9/29/22,3358,2022_0929_165106_012,2
9/29/22,4075,2022_0929_165216_014,2
9/29/22,4069,2022_0929_165308_016,2
9/29/22,4083,2022_0929_165416_018,2
9/29/22,3110,2022_0929_165528_020,2
9/29/22,3845,2022_0929_165655_022,2
9/29/22,3484,2022_0929_165759_024,2
9/29/22,4403,2022_0929_165903_026,2
9/29/22,3591,2022_0929_170011_028,2
